,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, January 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Dec.
2023",Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,One Month,One Month,One Month,One Month,Twelve Month,Twelve Month,Twelve Month,Twelve Month
,,,"Jan.
5,"Rice, pasta, cornmeal",0.139,293.434,294.753,296.413,296.320,294.931,295.502,298.037,295.881,294.714,290.895,289.689,289.314,290.564,294.389,294.634,295.104,296.163,293.759,293.952,295.200,294.613,295.321,293.509,291.572,291.657,291.511,-1.0,-0.4,-0.1,0.4,-0.7,0.0,-0.1,0.000,0.50,S-Nov. 2023,-0.7,-0.002,1.04,S-Jun. 2021,-1.5
6,Rice(4)(5)(6),,196.789,195.887,196.903,197.052,196.595,196.659,198.434,197.749,195.222,193.376,194.128,194.313,193.243,196.789,195.887,196.903,197.052,196.595,196.659,198.434,197.749,195.222,193.376,194.128,194.313,193.243,-1.8,0.4,0.1,-0.6,0.4,0.1,-0.6,,0.69,S-Oct. 2023,-0.9,,1.94,S-Mar. 2020,-2.3
5,Bakery products(4),0.752,386.184,388.948,391.639,391.801,392.471,392.673,393.736,395.634,394.837,395.858,396.598,395.119,395.688,386.184,388.948,391.639,391.801,392.471,392.673,393.736,395.634,394.837,395.858,396.598,395.119,395.688,2.5,0.2,-0.4,0.1,0.2,-0.4,0.1,0.001,0.34,L-Nov. 2023,0.2,0.020,0.53,S-Aug. 2021,1.5
6,Bread(4)(5),0.203,232.931,235.673,236.502,235.683,236.574,238.159,240.341,238.475,239.147,241.583,240.520,239.743,240.416,232.931,235.673,236.502,235.683,236.574,238.159,240.341,238.475,239.147,241.583,240.520,239.743,240.416,3.2,-0.4,-0.3,0.3,-0.4,-0.3,0.3,0.001,0.56,L-Oct. 2023,1.0,0.007,0.91,L-Nov. 2023,3.7
7,White bread(4)(6),,424.714,426.359,430.513,431.004,429.988,431.681,435.620,434.697,437.092,441.488,435.431,436.391,438.774,424.714,426.359,430.513,431.004,429.988,431.681,435.620,434.697,437.092,441.488,435.431,436.391,438.774,3.3,-1.4,0.2,0.5,-1.4,0.2,0.5,,0.76,L-Oct. 2023,1.0,,1.09,L-Nov. 2023,3.8
7,Bread other than white(4)(6),,452.281,459.837,458.389,454.842,458.584,462.875,467.205,461.543,461.642,466.758,469.612,464.871,464.991,452.281,459.837,458.389,454.842,458.584,462.875,467.205,461.543,461.642,466.758,469.612,464.871,464.991,2.8,0.6,-1.0,0.0,0.6,-1.0,0.0,,0.86,L-Nov. 2023,0.6,,1.11,S-Sep. 2021,2.8
6,"Fresh biscuits, rolls, muffins(5)",0.117,229.073,231.631,229.399,232.500,229.439,230.041,227.750,233.918,233.345,234.286,240.198,235.434,235.808,228.216,228.886,229.133,233.141,231.778,231.772,231.286,233.358,232.931,234.171,236.728,235.673,234.927,2.9,2.5,-2.0,0.2,1.1,-0.4,-0.3,0.000,1.03,L-Nov. 2023,1.1,0.003,1.48,S-Aug. 2021,0.0
6,"Cakes, cupcakes, and cookies(4)",0.191,366.553,369.452,372.111,370.885,371.758,369.396,370.790,373.071,371.514,367.844,370.456,369.811,370.172,366.553,369.452,372.111,370.885,371.758,369.396,370.790,373.071,371.514,367.844,370.456,369.811,370.172,1.0,0.7,-0.2,0.1,0.7,-0.2,0.1,0.000,0.59,L-Nov. 2023,0.7,0.002,0.99,S-Jun. 2021,0.7
7,Cookies(4)(6),,346.527,349.569,351.309,350.420,348.753,346.468,349.334,349.751,350.275,346.515,347.063,347.391,348.565,346.527,349.569,351.309,350.420,348.753,346.468,349.334,349.751,350.275,346.515,347.063,347.391,348.565,0.6,0.2,0.1,0.3,0.2,0.1,0.3,,0.72,L-Jul. 2023,0.8,,1.48,S-Oct. 2021,-0.2
7,Fresh cakes and cupcakes(4)(6),,381.978,384.670,387.899,388.529,392.120,391.861,391.239,395.012,391.189,390.052,393.772,392.202,388.321,381.978,384.670,387.899,388.529,392.120,391.861,391.239,395.012,391.189,390.052,393.772,392.202,388.321,1.7,1.0,-0.4,-1.0,1.0,-0.4,-1.0,,0.73,S-Sep. 2023,-1.0,,1.42,S-Jun. 2021,0.0
6,Other bakery products,0.241,343.373,343.552,349.616,349.918,352.132,352.029,352.712,354.428,352.894,354.777,352.069,352.758,352.967,345.097,343.696,349.776,349.513,350.547,350.975,350.406,352.400,351.506,353.139,355.500,357.716,354.737,2.8,-0.8,0.2,0.1,0.7,0.6,-0.8,-0.002,0.69,S-Jan. 2021,-2.0,0.007,1.03,S-Aug. 2021,2.0
7,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",,381.893,379.259,384.323,383.104,382.052,389.697,388.889,391.202,387.375,393.217,393.851,394.640,391.948,381.893,379.259,384.323,383.104,382.052,389.697,388.889,391.202,387.375,393.217,393.851,394.640,391.948,2.6,0.2,0.2,-0.7,0.2,0.2,-0.7,,1.05,S-Sep. 2023,-1.0,,1.92,S-Sep. 2023,1.5
7,"Crackers, bread, and cracker products(6)",,405.080,409.724,415.762,417.303,422.102,423.224,423.986,423.704,423.800,425.742,422.214,425.770,425.593,408.987,410.450,414.470,415.869,418.059,421.839,417.898,419.893,421.400,424.930,430.507,434.225,429.697,5.1,-0.8,0.8,0.0,1.3,0.9,-1.0,,1.06,S-Mar. 2021,-1.1,,1.39,S-Aug. 2021,3.8
7,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",,340.372,337.507,346.379,345.150,346.372,344.270,345.787,349.898,344.766,349.687,345.871,342.700,343.408,342.771,339.110,346.720,345.568,346.188,343.641,344.669,350.067,343.334,344.181,345.307,346.834,345.829,0.9,-1.1,-0.9,0.2,0.3,0.4,-0.3,,1.20,S-Sep. 2023,-1.9,,1.47,S-Sep. 2021,0.3
3,"Meats, poultry, fish, and eggs",1.722,322.737,321.803,318.306,318.996,315.968,315.561,317.445,318.944,320.140,322.536,319.860,320.143,319.752,323.956,322.915,320.021,318.767,315.565,315.274,316.255,318.142,318.630,320.716,320.182,321.145,321.230,-0.9,-0.8,0.1,-0.1,-0.2,0.3,0.0,0.000,0.26,S-Nov. 2023,-0.2,-0.017,0.46,S-Apr. 2019,-1.1
4,"Meats, poultry, and fish",1.603,315.855,317.108,316.772,317.942,318.511,319.818,322.360,324.535,325.646,328.213,324.839,323.190,322.344,317.695,319.555,318.541,318.608,318.385,318.841,320.447,323.070,323.713,325.921,324.784,325.004,324.317,2.1,-1.0,-0.5,-0.3,-0.3,0.1,-0.2,-0.003,0.27,S-Nov. 2023,-0.3,0.034,0.44,S-Sep. 2023,1.5
5,Meats,1.033,317.902,319.160,320.002,320.985,322.462,323.049,328.094,329.919,332.270,336.508,331.599,330.049,329.052,320.795,322.575,322.316,321.934,322.890,322.183,325.200,327.609,329.333,332.642,331.584,332.518,332.081,3.5,-1.5,-0.5,-0.3,-0.3,0.3,-0.1,-0.001,0.33,S-Nov. 2023,-0.3,0.036,0.46,S-Sep. 2023,2.9
6,Beef and veal,0.461,382.271,383.434,385.438,390.559,396.327,400.683,410.400,413.156,414.461,418.533,413.210,413.061,411.781,386.369,389.402,389.621,392.067,395.495,397.872,405.139,407.637,410.044,414.616,414.848,417.390,416.197,7.7,-1.3,0.0,-0.3,0.1,0.6,-0.3,-0.001,0.45,S-Oct. 2022,-0.7,0.034,0.72,S-Sep. 2023,7.0
7,Uncooked ground beef(4),0.160,329.943,330.661,331.897,333.806,340.629,346.066,351.379,352.959,355.019,360.211,354.917,352.556,348.091,329.943,330.661,331.897,333.806,340.629,346.066,351.379,352.959,355.019,360.211,354.917,352.556,348.091,5.5,-1.5,-0.7,-1.3,-1.5,-0.7,-1.3,-0.002,0.50,S-Nov. 2023,-1.5,0.009,0.85,S-Aug. 2023,3.1
7,Uncooked beef roasts(5),0.077,306.920,305.775,302.145,307.412,317.137,312.739,326.145,328.301,329.050,332.957,336.874,329.909,327.589,314.494,309.901,305.803,309.876,313.398,306.964,322.788,322.976,323.765,332.237,338.071,333.941,335.672,6.7,1.2,-2.1,-0.7,1.8,-1.2,0.5,0.000,1.42,L-Nov. 2023,1.8,0.004,1.73,S-Sep. 2023,6.0
7,Uncooked beef steaks(5),0.174,254.334,256.768,260.392,264.942,267.699,272.052,278.448,281.016,281.751,283.295,276.134,280.079,281.658,258.664,261.541,263.807,266.374,265.936,266.955,272.695,280.394,278.484,279.802,277.698,283.858,286.453,10.7,-2.5,1.4,0.6,-0.8,2.2,0.9,0.002,0.92,S-Nov. 2023,-0.8,0.019,1.31,S-Nov. 2023,9.1
7,Uncooked other beef and veal(4)(5),0.050,317.996,314.294,313.066,318.567,315.623,316.754,328.162,329.525,328.482,331.187,336.537,332.734,333.810,317.996,314.294,313.066,318.567,315.623,316.754,328.162,329.525,328.482,331.187,336.537,332.734,333.810,5.0,1.6,-1.1,0.3,1.6,-1.1,0.3,0.000,0.84,L-Nov. 2023,1.6,0.002,1.35,S-Oct. 2023,4.1
6,Pork,0.328,262.262,263.954,262.124,260.211,260.347,258.165,260.751,265.410,269.103,273.580,265.863,262.096,261.308,266.210,267.342,265.228,262.688,261.691,257.313,257.401,262.040,264.269,268.334,265.438,265.940,265.242,-0.4,-2.8,-1.4,-0.3,-1.1,0.2,-0.3,-0.001,0.61,S-Nov. 2023,-1.1,-0.001,0.93,S-Nov. 2023,-0.5
7,"Bacon, breakfast sausage, and related products(5)",0.142,199.108,196.192,197.236,194.709,193.428,191.581,193.257,196.620,203.045,206.245,199.762,197.316,196.563,200.238,199.641,200.103,196.296,194.303,192.423,191.651,194.628,199.267,201.805,199.020,198.896,197.678,-1.3,-3.1,-1.2,-0.4,-1.4,-0.1,-0.6,-0.001,0.89,S-Nov. 2023,-1.4,-0.002,1.31,S-Sep. 2023,-2.5
8,Bacon and related products(6),,363.050,354.096,357.468,354.707,349.822,344.881,347.165,361.261,382.612,391.980,378.703,373.123,365.105,365.919,362.132,365.650,358.138,353.776,349.502,344.831,358.355,374.946,380.153,370.994,372.966,367.990,0.6,-3.4,-1.5,-2.1,-2.4,0.5,-1.3,,1.16,S-Nov. 2023,-2.4,,1.77,S-Nov. 2023,-0.6
8,Breakfast sausage and related products(5)(6),,188.373,188.754,188.884,185.367,185.878,185.751,187.793,185.242,184.066,184.488,179.105,178.159,181.914,188.098,190.557,188.951,186.330,185.350,184.256,184.657,183.201,182.971,182.974,183.189,181.358,181.649,-3.4,-2.9,-0.5,2.1,0.1,-1.0,0.2,,1.10,L-Jul. 2023,0.2,,1.74,L-Nov. 2023,-1.3
7,Ham,0.063,248.034,257.342,253.624,248.335,257.632,257.682,258.679,260.056,257.954,258.640,247.732,241.709,240.486,253.490,260.489,252.609,255.051,258.527,253.423,255.523,253.846,250.253,251.277,249.989,253.590,245.775,-3.0,-4.2,-2.4,-0.5,-0.5,1.4,-3.1,-0.002,1.63,S-Mar. 2021,-6.6,-0.002,2.23,S-May 2021,-3.4
8,"Ham, excluding canned(6)",,276.587,287.536,282.867,275.974,287.708,287.550,288.923,290.800,287.885,288.813,275.317,268.563,266.504,282.799,290.435,281.871,284.769,289.114,282.839,285.358,283.211,278.954,280.072,277.701,282.221,272.490,-3.6,-4.7,-2.5,-0.8,-0.8,1.6,-3.4,,1.33,S-Mar. 2021,-6.6,,2.73,S-Oct. 2018,-4.3
7,Pork chops(4),0.042,232.855,238.206,234.760,236.125,232.533,233.532,233.915,241.150,239.949,248.324,242.457,240.258,241.303,232.855,238.206,234.760,236.125,232.533,233.532,233.915,241.150,239.949,248.324,242.457,240.258,241.303,3.6,-2.4,-0.9,0.4,-2.4,-0.9,0.4,0.000,1.32,L-Oct. 2023,3.5,0.002,1.85,L-Oct. 2023,4.3
7,"Other pork including roasts, steaks, and ribs(5)",0.081,156.233,157.716,154.858,156.000,154.537,151.262,154.724,158.218,159.883,163.091,160.978,159.032,158.425,159.191,160.379,157.736,156.304,154.197,149.267,153.440,156.741,158.963,160.327,159.862,159.936,161.424,1.4,-1.3,-1.2,-0.4,-0.3,0.0,0.9,0.001,1.43,L-Oct. 2023,0.9,0.001,1.90,L-Sep. 2022,4.6
6,Other meats,0.244,285.678,286.318,289.421,289.167,286.944,286.621,288.748,285.158,286.707,290.419,290.514,290.491,289.651,285.251,286.191,288.002,287.128,287.631,288.304,289.800,288.680,288.647,288.953,288.974,288.386,289.217,1.4,0.0,0.0,-0.3,0.0,-0.2,0.3,0.001,0.61,L-Jul. 2023,0.5,0.004,1.19,L-Sep. 2023,2.6
7,Frankfurters(6),,289.661,294.727,290.868,283.548,276.191,277.847,278.378,276.229,292.088,305.047,307.747,307.515,310.183,286.906,291.200,285.810,280.210,281.888,282.643,287.642,284.020,294.934,300.055,301.311,301.643,307.234,7.1,0.9,-0.1,0.9,0.4,0.1,1.9,,1.68,L-Sep. 2023,3.8,,2.50,L-Feb. 2023,11.0
7,Lunchmeats(4)(5)(6),,184.789,185.977,188.327,189.349,188.498,187.379,188.600,186.064,185.739,188.095,188.136,188.589,187.120,184.789,185.977,188.327,189.349,188.498,187.379,188.600,186.064,185.739,188.095,188.136,188.589,187.120,1.3,0.0,0.2,-0.8,0.0,0.2,-0.8,,0.78,S-Aug. 2023,-1.3,,1.24,L-Sep. 2023,2.4
6,Poultry(4),0.314,300.213,300.640,299.538,301.343,301.812,304.357,303.121,306.096,307.230,308.281,305.387,304.193,305.187,300.213,300.640,299.538,301.343,301.812,304.357,303.121,306.096,307.230,308.281,305.387,304.193,305.187,1.7,-0.9,-0.4,0.3,-0.9,-0.4,0.3,0.001,0.63,L-Oct. 2023,0.3,0.006,0.96,L-May 2023,2.1
7,Chicken(4)(5),0.254,192.413,192.830,191.668,192.578,193.066,194.307,192.199,194.790,194.990,195.575,194.860,195.061,194.666,192.413,192.830,191.668,192.578,193.066,194.307,192.199,194.790,194.990,195.575,194.860,195.061,194.666,1.2,-0.4,0.1,-0.2,-0.4,0.1,-0.2,-0.001,0.64,S-Nov. 2023,-0.4,0.003,1.13,L-Apr. 2023,3.4
8,Fresh whole chicken(4)(6),,316.322,318.500,315.982,316.063,321.946,325.841,318.999,325.801,322.294,323.007,327.616,326.386,328.095,316.322,318.500,315.982,316.063,321.946,325.841,318.999,325.801,322.294,323.007,327.616,326.386,328.095,3.7,1.4,-0.4,0.5,1.4,-0.4,0.5,,1.05,L-Nov. 2023,1.4,,1.90,L-Jun. 2023,4.5
8,Fresh and frozen chicken parts(4)(6),,288.026,288.255,287.073,288.755,287.435,289.012,287.274,290.164,292.023,292.627,289.529,290.837,289.057,288.026,288.255,287.073,288.755,287.435,289.012,287.274,290.164,292.023,292.627,289.529,290.837,289.057,0.4,-1.1,0.5,-0.6,-1.1,0.5,-0.6,,0.66,S-Nov. 2023,-1.1,,1.39,L-Apr. 2023,2.8
7,Other uncooked poultry including turkey(5),0.060,198.270,197.958,199.114,201.327,200.862,204.151,208.768,207.911,210.832,211.895,205.275,200.494,205.629,199.419,199.108,200.935,202.828,199.455,202.179,207.743,205.564,206.382,208.397,208.310,206.320,206.820,3.7,-3.1,-2.3,2.6,0.0,-1.0,0.2,0.000,1.31,L-Oct. 2023,1.0,0.002,2.36,L-Nov. 2023,5.0
